Empfänger-ID;NAME1;NAME2;STRASSE;PLZ;STADT;LAND
534047;WAJOS GMBH;;ZUR HOEHE 1;56812;DOHR;DE
578010;WALTER LANG GMBH;;AM ALTEN SICHERHEITSHAFEN 2;28197;BREMEN;DE
594223;WANDER AG;;FABRIKSTRASSE 10;3176;NEUENEGG;CH
592294-7;WDM BIO-FERTIGPRODUKTE GMBH;;WASSERSTRASSE 10;15374;MÜNCHEBERG;DE
590114;WDM BIO-FERTIGPRODUKTE GMBH;;WASSERSTRASSE 10;15374;MÜNCHEBERG;DE
592005_1;Weckerle Logisitk GmbH;;Am Ostkai 11;70327;Stuttgart;DE
590093;WERDER FEINKOST GMBH;;PHOEBENER STR.1;14542;WERDER;DE
592022-1;WILHELM BRANDENBURG GMBH & CO.OHG;;OBERE INDUSTRIESTRAssE 39;57250;NETPHEN;DE
592022-2;WILHELM BRANDENBURG GMBH & CO.OHG;;INDUSTRIESTR. 9;63303;DREIEICH;DE
592009;Wilhelm Reuss GmbH;;Roydorfer Weg 1;21423;Winsen;DE
577005;ZENTIS GMBH & CO.KG;;JUELICHERSTR. 177;52070;AACHEN;DE
574112;ZWERGENWIESE;NATURKOST GMBH;LANGACKER 1;24887;SILBERSTEDT;DE
